calendar-year,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,2278.0,0.0,0.0,2277.0,2278.0,2278.0,2278.0,2278.0,2278.0,2278.0,2278.0,2278.0
2018,2446.2,16.96,30.0,2419.0,2420.0,2430.0,2444.0,2460.0,2474.0,2474.0,2435.69,2456.71
2019,2587.4,31.75,30.0,2519.0,2520.0,2568.0,2586.0,2598.0,2648.0,2648.0,2567.72,2607.08
2020,2726.4,54.51,62.0,2619.0,2620.0,2696.0,2722.0,2758.0,2818.0,2818.0,2692.62,2760.18
2021,2844.8,58.97,94.0,2763.0,2764.0,2794.0,2818.0,2888.0,2942.0,2942.0,2808.25,2881.35
2022,2947.2,42.29,52.0,2881.0,2882.0,2922.0,2930.0,2974.0,3028.0,3028.0,2920.99,2973.41
