calendar-year,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,2154.0,0.0,0.0,2153.0,2154.0,2154.0,2154.0,2154.0,2154.0,2154.0,2154.0,2154.0
2018,2325.8,27.11,36.0,2275.0,2276.0,2310.0,2320.0,2346.0,2368.0,2368.0,2309.0,2342.6
2019,2458.4,39.52,50.0,2369.0,2370.0,2442.0,2452.0,2492.0,2520.0,2520.0,2433.91,2482.89
2020,2571.4,41.37,62.0,2489.0,2490.0,2544.0,2568.0,2606.0,2636.0,2636.0,2545.76,2597.04
2021,2676.4,50.33,76.0,2581.0,2582.0,2636.0,2664.0,2712.0,2758.0,2758.0,2645.2,2707.6
2022,2772.4,58.66,78.0,2667.0,2668.0,2736.0,2774.0,2814.0,2852.0,2852.0,2736.04,2808.76
