calendar-year,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,2154.0,0.0,0.0,2153.0,2154.0,2154.0,2154.0,2154.0,2154.0,2154.0,2154.0,2154.0
2018,2261.05,28.57,40.0,2165.0,2208.0,2240.0,2260.0,2280.0,2320.0,2352.0,2259.28,2262.82
2019,2341.93,38.59,52.0,2229.0,2270.0,2316.0,2342.0,2368.0,2422.0,2460.0,2339.54,2344.32
2020,2420.77,46.56,64.0,2273.0,2330.0,2390.0,2422.0,2454.0,2512.0,2550.0,2417.88,2423.66
2021,2502.54,51.77,68.0,2349.0,2396.0,2470.0,2502.0,2538.0,2606.0,2656.0,2499.33,2505.75
2022,2581.3,55.31,74.0,2423.0,2468.0,2544.0,2578.0,2618.0,2692.0,2750.0,2577.87,2584.73
