calendar-year,academic-year,need,setting,population
2017,2,T,H,0.0
2017,2,T,I,0.0
2017,2,T,J,0.0
2017,2,T,K,0.0
2017,2,T,L,2.0
2017,2,T,O,0.0
2017,2,T,R,0.0
2017,2,U,A,14.0
2017,2,U,B,24.0
2017,2,U,E,0.0
2017,2,U,F,0.0
2017,2,U,G,0.0
2017,2,U,H,0.0
2017,2,U,I,0.0
2017,2,U,J,2.0
2017,2,U,K,1.0
2017,2,U,L,0.0
2017,2,U,O,0.0
2017,2,U,R,0.0
2017,2,V,A,0.0
2017,2,V,B,2.0
2017,2,V,E,0.0
2017,2,V,F,0.0
2017,2,V,G,0.0
2017,2,V,H,0.0
2017,2,V,I,0.0
2017,2,V,J,1.0
2017,2,V,K,0.0
2017,2,V,L,0.0
2017,2,V,O,0.0
2017,2,V,R,0.0
2017,2,W,A,0.0
2017,2,W,B,0.0
2017,2,W,E,0.0
2017,2,W,F,0.0
2017,2,W,G,0.0
2017,2,W,H,0.0
2017,2,W,I,0.0
2017,2,W,J,0.0
2017,2,W,K,0.0
2017,2,W,L,0.0
2017,2,W,O,0.0
2017,2,W,R,0.0
2017,2,X,A,3.0
2017,2,X,B,2.0
2017,2,X,E,0.0
2017,2,X,F,0.0
2017,2,X,G,0.0
2017,2,X,H,0.0
2017,2,X,I,1.0
2017,2,X,J,0.0
2017,2,X,K,0.0
2017,2,X,L,0.0
2017,2,X,O,0.0
2017,2,X,R,0.0
2017,2,Y,A,2.0
2017,2,Y,B,7.0
2017,2,Y,E,0.0
2017,2,Y,F,5.0
2017,2,Y,G,2.0
2017,2,Y,H,0.0
2017,2,Y,I,0.0
2017,2,Y,J,0.0
2017,2,Y,K,0.0
2017,2,Y,L,2.0
2017,2,Y,O,0.0
2017,2,Y,R,0.0
2017,3,T,A,15.0
2017,3,T,B,66.0
2017,3,T,E,1.0
2017,3,T,F,7.0
2017,3,T,G,0.0
2017,3,T,H,1.0
2017,3,T,I,0.0
2017,3,T,J,0.0
2017,3,T,K,1.0
2017,3,T,L,0.0
2017,3,T,O,0.0
2017,3,T,R,2.0
2017,3,U,A,1.0
2017,3,U,B,10.0
2017,3,U,E,2.0
2017,3,U,F,0.0
2017,3,U,G,0.0
2017,3,U,H,0.0
2017,3,U,I,0.0
2017,3,U,J,1.0
2017,3,U,K,0.0
2017,3,U,L,1.0
2017,3,U,O,0.0
2017,3,U,R,0.0
2017,3,V,A,0.0
2017,3,V,B,0.0
2017,3,V,E,0.0
2017,3,V,F,0.0
2017,3,V,G,0.0
2017,3,V,H,0.0
2017,3,V,I,2.0
2017,3,V,J,0.0
2017,3,V,K,0.0
2017,3,V,L,0.0
2017,3,V,O,0.0
2017,3,V,R,0.0
2017,3,W,A,0.0
2017,3,W,B,0.0
