calendar-year,academic-year,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2018,18,2.31,1.99,2.0,0.0,0.0,1.0,2.0,3.0,7.0,12.0,2.19,2.43
2018,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,8,156.83,4.29,5.0,146.0,149.0,154.0,157.0,159.0,166.0,176.0,156.56,157.09
2019,0,97.07,13.13,18.0,56.0,72.0,88.0,97.0,106.0,123.0,137.0,96.26,97.89
2019,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,199.8,7.94,11.0,175.0,186.0,194.0,199.0,205.0,216.0,231.0,199.31,200.29
2019,20,0.24,0.56,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.2,0.27
2019,1,149.66,14.21,20.0,111.0,123.0,139.0,149.0,159.0,179.0,212.0,148.78,150.54
2019,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,-2,14.27,5.27,6.0,0.0,5.0,11.0,14.0,17.0,26.0,36.0,13.94,14.6
2019,4,170.4,8.71,12.0,145.0,155.0,164.0,170.0,176.0,188.0,206.0,169.86,170.94
2019,-1,52.42,9.49,13.0,26.0,34.0,46.0,52.0,59.0,72.0,83.0,51.83,53.01
2019,15,30.3,5.64,7.0,11.0,19.0,27.0,30.0,34.0,41.0,50.0,29.95,30.64
2019,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,13,86.35,7.32,10.0,64.0,72.0,81.0,86.0,91.0,101.0,106.0,85.89,86.8
2019,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,-3,0.25,0.65,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.21,0.3
2019,6,174.29,8.48,12.0,150.0,158.0,168.0,174.0,180.0,192.0,206.0,173.76,174.81
2019,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,17,19.35,3.19,4.0,10.0,13.0,17.0,19.0,21.0,26.0,30.0,19.15,19.54
2019,3,176.9,9.18,12.0,150.0,159.0,171.0,177.0,183.0,194.0,211.0,176.33,177.47
2019,12,106.65,7.27,10.0,82.0,92.0,102.0,107.0,112.0,120.0,136.0,106.2,107.1
2019,2,151.15,12.02,16.0,111.0,130.0,143.0,151.0,159.0,176.0,188.0,150.4,151.89
2019,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,19,1.38,1.64,2.0,0.0,0.0,0.0,1.0,2.0,5.0,12.0,1.28,1.48
2019,11,188.08,6.0,8.0,170.0,178.0,184.0,188.0,192.0,201.0,214.0,187.71,188.45
2019,9,162.68,6.14,8.0,147.0,152.0,158.0,162.0,166.0,178.0,186.0,162.3,163.06
2019,5,165.75,8.05,11.0,147.0,152.0,160.0,165.0,171.0,183.0,204.0,165.25,166.25
2019,14,58.21,6.27,8.0,34.0,46.0,54.0,58.0,62.0,70.0,81.0,57.82,58.6
2019,16,24.37,4.48,6.0,12.0,16.0,21.0,24.0,27.0,33.0,43.0,24.09,24.64
2019,10,138.98,6.09,8.0,123.0,129.0,135.0,138.0,143.0,152.0,161.0,138.6,139.35
2019,18,3.99,3.41,5.0,0.0,0.0,1.0,3.0,6.0,12.0,17.0,3.78,4.2
2019,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,8,157.47,6.52,9.0,139.0,146.0,153.0,157.0,162.0,172.0,182.0,157.07,157.88
2020,0,103.19,13.69,18.0,59.0,77.0,94.0,103.0,112.0,131.0,166.0,102.34,104.04
2020,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,7,183.12,10.08,14.0,148.0,165.0,176.0,183.0,190.0,203.0,220.0,182.5,183.74
2020,20,0.15,0.44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.12,0.17
2020,1,135.52,15.45,21.0,95.0,107.0,125.0,135.0,146.0,165.0,204.0,134.56,136.47
2020,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,-2,15.22,5.94,8.0,0.0,5.0,11.0,15.0,19.0,28.0,49.0,14.85,15.59
2020,4,188.0,10.59,14.0,156.0,167.0,181.0,188.0,195.0,208.0,221.0,187.34,188.65
2020,-1,52.77,9.85,13.0,29.0,35.0,46.0,53.0,59.0,73.0,89.0,52.15,53.38
2020,15,26.57,5.39,7.0,10.0,17.0,23.0,27.0,30.0,37.0,45.0,26.23,26.9
2020,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,13,87.06,7.7,10.0,62.0,72.0,82.0,87.0,92.0,102.0,115.0,86.59,87.54
2020,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,-3,0.27,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.22,0.31
2020,6,175.36,9.55,13.0,151.0,158.0,168.0,175.0,181.0,195.0,214.0,174.76,175.95
2020,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,17,20.94,4.9,6.0,8.0,12.0,18.0,21.0,24.0,31.0,38.0,20.63,21.24
2020,3,165.18,13.43,19.0,126.0,141.0,156.0,164.0,175.0,194.0,206.0,164.35,166.01
2020,12,139.4,8.01,11.0,110.0,124.0,134.0,139.0,145.0,156.0,165.0,138.91,139.9
2020,2,167.77,15.75,21.0,120.0,138.0,157.0,167.0,178.0,199.0,223.0,166.79,168.74
2020,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,19,2.49,2.58,3.0,0.0,0.0,1.0,2.0,4.0,9.0,15.0,2.33,2.65
2020,11,140.18,6.79,10.0,121.0,128.0,135.0,140.0,145.0,154.0,161.0,139.76,140.61
2020,9,162.77,8.0,11.0,134.0,148.0,157.0,163.0,168.0,180.0,192.0,162.27,163.27
2020,5,181.44,10.51,13.0,150.0,162.0,175.0,181.0,188.0,203.0,230.0,180.79,182.09
2020,14,58.05,7.13,10.0,35.0,44.0,53.0,58.0,63.0,72.0,82.0,57.61,58.49
2020,16,25.61,5.58,7.0,11.0,15.0,22.0,25.0,29.0,37.0,44.0,25.26,25.95
2020,10,170.39,7.5,10.0,142.0,157.0,165.0,170.0,175.0,187.0,198.0,169.93,170.86
2020,18,2.71,2.37,3.0,0.0,0.0,1.0,2.0,4.0,8.0,14.0,2.56,2.86
2020,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,8,200.63,8.91,11.0,170.0,184.0,195.0,200.0,206.0,219.0,229.0,200.07,201.18
2021,0,104.26,13.93,18.0,63.0,78.0,95.0,104.0,113.0,132.0,151.0,103.4,105.12
2021,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,7,183.96,11.3,15.0,150.0,163.0,176.0,184.0,191.0,207.0,221.0,183.26,184.66
2021,20,0.3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.25,0.34
2021,1,141.22,16.14,21.0,87.0,111.0,130.0,141.0,151.0,174.0,198.0,140.22,142.22
2021,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,-2,15.51,5.96,8.0,1.0,6.0,11.0,15.0,19.0,28.0,37.0,15.14,15.88
2021,4,177.23,14.44,20.0,139.0,149.0,167.0,177.0,187.0,206.0,227.0,176.33,178.12
2021,-1,55.21,10.86,15.0,28.0,36.0,47.0,55.0,62.0,79.0,92.0,54.54,55.88
2021,15,26.56,5.62,7.0,11.0,16.0,23.0,26.0,30.0,39.0,47.0,26.22,26.91
2021,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,13,112.07,8.79,12.0,86.0,95.0,106.0,112.0,118.0,130.0,141.0,111.53,112.62
2021,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,-3,0.26,0.78,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.21,0.31
2021,6,191.04,12.04,17.0,153.0,169.0,182.0,191.0,199.0,215.0,243.0,190.3,191.79
2021,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,17,22.65,5.65,7.0,6.0,13.0,19.0,22.0,26.0,34.0,48.0,22.29,23.0
2021,3,181.02,16.87,24.0,128.0,149.0,169.0,181.0,193.0,214.0,238.0,179.97,182.06
2021,12,105.31,7.85,11.0,81.0,91.0,100.0,105.0,111.0,121.0,131.0,104.82,105.79
2021,2,152.21,17.0,23.0,106.0,121.0,140.0,152.0,163.0,185.0,243.0,151.16,153.26
2021,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,19,1.84,1.94,3.0,0.0,0.0,0.0,1.0,3.0,7.0,11.0,1.72,1.96
2021,11,169.96,8.15,11.0,145.0,155.0,164.0,169.0,175.0,187.0,202.0,169.45,170.47
2021,9,205.1,9.93,14.0,174.0,186.0,198.0,205.0,212.0,225.0,236.0,204.49,205.72
2021,5,198.92,12.46,17.0,161.0,175.0,190.0,199.0,207.0,225.0,242.0,198.15,199.69
2021,14,58.05,7.43,10.0,36.0,45.0,53.0,58.0,63.0,73.0,83.0,57.59,58.51
2021,16,22.19,5.17,6.0,8.0,13.0,19.0,22.0,25.0,33.0,41.0,21.87,22.51
2021,10,171.47,9.34,12.0,139.0,155.0,165.0,171.0,177.0,192.0,203.0,170.89,172.05
2021,18,3.08,2.57,3.0,0.0,0.0,1.0,3.0,4.0,9.0,15.0,2.92,3.24
2021,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,8,185.37,10.67,14.0,148.0,165.0,178.0,185.0,192.0,208.0,219.0,184.71,186.03
2022,0,108.28,15.0,20.0,65.0,81.0,98.0,107.0,118.0,138.0,168.0,107.35,109.21
2022,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,7,201.53,13.16,18.0,162.0,177.0,192.0,201.0,210.0,227.0,262.0,200.72,202.35
2022,20,0.2,0.59,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.17,0.24
2022,1,142.35,16.57,23.0,95.0,111.0,130.0,142.0,153.0,175.0,204.0,141.32,143.38
2022,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,-2,16.4,6.14,8.0,0.0,6.0,12.0,16.0,20.0,30.0,39.0,16.02,16.78
2022,4,193.0,17.69,24.0,146.0,160.0,181.0,194.0,205.0,228.0,245.0,191.9,194.09
