calendar-year,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,2154.0,0.0,0.0,2153.0,2154.0,2154.0,2154.0,2154.0,2154.0,2154.0,2154.0,2154.0
2018,2244.4,21.67,38.0,2211.0,2212.0,2228.0,2236.0,2266.0,2286.0,2286.0,2230.97,2257.83
2019,2316.6,38.38,66.0,2257.0,2258.0,2286.0,2292.0,2352.0,2382.0,2382.0,2292.81,2340.39
2020,2386.8,38.9,46.0,2327.0,2328.0,2358.0,2390.0,2404.0,2464.0,2464.0,2362.69,2410.91
2021,2444.2,44.97,62.0,2359.0,2360.0,2416.0,2462.0,2478.0,2494.0,2494.0,2416.33,2472.07
2022,2519.6,54.92,58.0,2399.0,2400.0,2492.0,2504.0,2550.0,2598.0,2598.0,2485.56,2553.64
