calendar-year,academic-year,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2018,18,6.0,4.49,6.0,0.0,0.0,3.0,4.0,9.0,16.0,16.0,3.21,8.79
2018,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,8,155.1,3.05,3.0,149.0,149.0,154.0,155.0,157.0,160.0,160.0,153.21,156.99
2019,0,95.7,12.25,13.0,80.0,80.0,88.0,93.0,101.0,119.0,119.0,88.11,103.29
2019,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,198.1,5.84,11.0,187.0,187.0,193.0,197.0,204.0,206.0,206.0,194.48,201.72
2019,20,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.09,0.29
2019,1,154.1,8.94,14.0,140.0,140.0,148.0,152.0,162.0,168.0,168.0,148.56,159.64
2019,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,-2,17.6,3.85,5.0,9.0,9.0,15.0,18.0,20.0,24.0,24.0,15.21,19.99
2019,4,171.4,7.05,15.0,162.0,162.0,164.0,171.0,179.0,181.0,181.0,167.03,175.77
2019,-1,53.8,8.83,15.0,42.0,42.0,46.0,49.0,61.0,69.0,69.0,48.33,59.27
2019,15,32.0,8.66,15.0,18.0,18.0,25.0,33.0,40.0,43.0,43.0,26.63,37.37
2019,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,13,83.9,6.28,13.0,74.0,74.0,76.0,87.0,89.0,91.0,91.0,80.01,87.79
2019,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,-3,1.0,1.34,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.17,1.83
2019,6,173.1,10.16,16.0,160.0,160.0,165.0,173.0,181.0,191.0,191.0,166.8,179.4
2019,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
