calendar-year,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,2.9810687E7,0.0,0.0,2.9802495E7,2.9818878E7,2.9818878E7,2.9818878E7,2.9818878E7,2.9818878E7,2.9818878E7,2.9810687E7,2.9810687E7
2018,3.11410678E7,301643.63,458752.0,3.0736383E7,3.0752766E7,3.085107E7,3.1113214E7,3.1309822E7,3.183411E7,3.183411E7,3.095410714E7,3.132802846E7
2019,3.24861942E7,600604.9,1130496.0,3.1621119E7,3.1637502E7,3.191603E7,3.240755E7,3.3046526E7,3.3538046E7,3.3538046E7,3.211393542E7,3.285845298E7
2020,3.37895414E7,844166.02,1490944.0,3.2686079E7,3.2702462E7,3.3046526E7,3.3488894E7,3.453747E7,3.519283E7,3.519283E7,3.326632188E7,3.431276092E7
2021,3.48028918E7,633058.76,622592.0,3.3783807E7,3.3816574E7,3.4406398E7,3.4734078E7,3.502899E7,3.5979262E7,3.5979262E7,3.441051791E7,3.519526569E7
2022,3.6388863E7,836065.74,1081344.0,3.5487743E7,3.552051E7,3.5618814E7,3.6110334E7,3.6700158E7,3.7945342E7,3.7945342E7,3.587066408E7,3.690706192E7
