calendar-year,setting,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2019,IMS,32.6,6.05,12.0,24.0,24.0,27.0,31.0,39.0,41.0,41.0,28.85,36.35
2019,MSSR,23.7,2.72,3.0,19.0,19.0,22.0,24.0,25.0,27.0,27.0,22.01,25.39
2019,MSSOB,61.1,5.86,3.0,52.0,52.0,59.0,59.0,62.0,75.0,75.0,57.47,64.73
2019,MSSIB,473.0,11.92,18.0,449.0,449.0,464.0,473.0,482.0,492.0,492.0,465.61,480.39
2020,MSS,2.13,0.93,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.55,2.7
2020,MMSOB,49.0,4.52,8.0,44.0,44.0,46.0,46.0,54.0,57.0,57.0,46.2,51.8
2020,NMSS,31.1,5.36,10.0,24.0,24.0,25.0,30.0,35.0,40.0,40.0,27.78,34.42
2020,MSSOP,23.6,6.26,12.0,16.0,16.0,17.0,22.0,29.0,36.0,36.0,19.72,27.48
2020,MMSIB,1424.7,32.81,36.0,1371.0,1371.0,1403.0,1422.0,1439.0,1487.0,1487.0,1404.37,1445.03
2020,MUOB,3.78,1.13,1.0,2.0,2.0,3.0,4.0,4.0,6.0,6.0,3.08,4.48
2020,EYS,11.1,3.39,5.0,5.0,5.0,9.0,11.0,14.0,16.0,16.0,9.0,13.2
2020,MU,131.2,7.44,10.0,121.0,121.0,126.0,128.0,136.0,145.0,145.0,126.59,135.81
2020,FEC,91.5,10.26,19.0,74.0,74.0,82.0,94.0,101.0,105.0,105.0,85.14,97.86
2020,ISSR,11.0,3.07,5.0,5.0,5.0,8.0,12.0,13.0,15.0,15.0,9.1,12.9
2020,ISS,45.0,7.77,12.0,32.0,32.0,38.0,44.0,50.0,60.0,60.0,40.18,49.82
2020,OOE,74.2,9.06,12.0,57.0,57.0,69.0,74.0,81.0,87.0,87.0,68.58,79.82
2020,EO,20.0,4.27,6.0,15.0,15.0,16.0,18.0,22.0,29.0,29.0,17.36,22.64
2020,MMS,11.9,3.62,3.0,5.0,5.0,11.0,11.0,14.0,18.0,18.0,9.66,14.14
2020,NMSSR,2.11,1.2,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,1.37,2.85
2020,MAP,43.9,5.22,5.0,35.0,35.0,42.0,42.0,47.0,52.0,52.0,40.66,47.14
2020,IMS,32.9,4.61,7.0,25.0,25.0,30.0,33.0,37.0,41.0,41.0,30.04,35.76
2020,MSSR,21.3,6.59,6.0,12.0,12.0,17.0,21.0,23.0,36.0,36.0,17.22,25.38
2020,MSSOB,62.6,4.8,7.0,55.0,55.0,59.0,63.0,66.0,72.0,72.0,59.62,65.58
2020,MSSIB,501.5,16.13,23.0,472.0,472.0,489.0,505.0,512.0,524.0,524.0,491.5,511.5
2021,MSS,2.89,1.66,1.0,1.0,1.0,2.0,2.0,3.0,7.0,7.0,1.86,3.92
2021,MMSOB,49.7,6.65,12.0,39.0,39.0,45.0,47.0,57.0,58.0,58.0,45.58,53.82
2021,NMSS,30.9,6.12,7.0,23.0,23.0,25.0,30.0,32.0,46.0,46.0,27.1,34.7
2021,MSSOP,24.4,5.97,9.0,15.0,15.0,19.0,23.0,28.0,35.0,35.0,20.7,28.1
2021,MMSIB,1469.0,30.85,41.0,1414.0,1414.0,1449.0,1479.0,1490.0,1507.0,1507.0,1449.88,1488.12
2021,MUOB,3.78,1.31,3.0,2.0,2.0,2.0,4.0,5.0,6.0,6.0,2.96,4.59
2021,EYS,12.9,4.41,8.0,7.0,7.0,9.0,11.0,17.0,21.0,21.0,10.16,15.64
2021,MU,135.8,9.17,9.0,121.0,121.0,131.0,134.0,140.0,156.0,156.0,130.11,141.49
2021,FEC,92.7,11.4,19.0,69.0,69.0,83.0,95.0,102.0,109.0,109.0,85.63,99.77
2021,ISSR,10.9,1.37,2.0,9.0,9.0,10.0,10.0,12.0,13.0,13.0,10.05,11.75
2021,ISS,40.8,8.38,10.0,31.0,31.0,35.0,39.0,45.0,61.0,61.0,35.61,45.99
2021,OOE,77.4,11.22,14.0,54.0,54.0,71.0,78.0,85.0,93.0,93.0,70.45,84.35
2021,EO,20.8,3.6,4.0,14.0,14.0,19.0,21.0,23.0,27.0,27.0,18.57,23.03
2021,MMS,14.9,6.25,10.0,6.0,6.0,10.0,12.0,20.0,26.0,26.0,11.02,18.78
2021,NMSSR,2.44,1.34,2.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,1.61,3.28
2021,MAP,48.5,10.3,14.0,32.0,32.0,44.0,45.0,58.0,69.0,69.0,42.12,54.88
2021,IMS,37.4,5.37,9.0,30.0,30.0,33.0,36.0,42.0,48.0,48.0,34.07,40.73
2021,MSSR,22.7,5.75,9.0,15.0,15.0,17.0,23.0,26.0,32.0,32.0,19.14,26.26
2021,MSSOB,64.1,5.59,8.0,52.0,52.0,60.0,65.0,68.0,73.0,73.0,60.63,67.57
2021,MSSIB,524.4,20.87,24.0,489.0,489.0,517.0,521.0,541.0,562.0,562.0,511.46,537.34
2022,MSS,3.38,1.93,3.0,1.0,1.0,1.0,3.0,4.0,7.0,7.0,2.18,4.57
2022,MMSOB,50.5,7.51,14.0,38.0,38.0,44.0,52.0,58.0,60.0,60.0,45.84,55.16
2022,NMSS,33.4,5.89,5.0,24.0,24.0,30.0,32.0,35.0,48.0,48.0,29.75,37.05
2022,MSSOP,26.7,5.59,8.0,16.0,16.0,24.0,25.0,32.0,35.0,35.0,23.24,30.16
2022,MMSIB,1516.2,33.95,50.0,1439.0,1439.0,1495.0,1507.0,1545.0,1561.0,1561.0,1495.16,1537.24
2022,MUOB,3.33,1.05,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,2.68,3.99
2022,EYS,14.6,6.09,8.0,7.0,7.0,10.0,12.0,18.0,29.0,29.0,10.83,18.37
2022,MU,139.3,13.57,8.0,108.0,108.0,136.0,141.0,144.0,161.0,161.0,130.89,147.71
2022,FEC,95.0,16.12,20.0,62.0,62.0,88.0,94.0,108.0,119.0,119.0,85.01,104.99
2022,ISSR,13.3,2.76,4.0,9.0,9.0,11.0,14.0,15.0,18.0,18.0,11.59,15.01
2022,ISS,44.6,6.86,9.0,32.0,32.0,39.0,44.0,48.0,55.0,55.0,40.35,48.85
2022,OOE,78.7,9.68,15.0,65.0,65.0,71.0,76.0,86.0,96.0,96.0,72.7,84.7
2022,EO,21.0,5.98,8.0,12.0,12.0,17.0,19.0,25.0,34.0,34.0,17.29,24.71
2022,MMS,13.4,4.0,3.0,7.0,7.0,12.0,13.0,15.0,22.0,22.0,10.92,15.88
2022,NMSSR,3.38,1.65,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,2.35,4.4
2022,MAP,45.0,10.95,14.0,27.0,27.0,38.0,44.0,52.0,65.0,65.0,38.22,51.78
2022,IMS,39.4,8.22,16.0,30.0,30.0,32.0,34.0,48.0,54.0,54.0,34.3,44.5
2022,MSSR,23.5,3.35,4.0,18.0,18.0,21.0,23.0,25.0,29.0,29.0,21.42,25.58
2022,MSSOB,69.9,9.55,17.0,56.0,56.0,60.0,69.0,77.0,86.0,86.0,63.98,75.82
2022,MSSIB,548.9,26.82,26.0,498.0,498.0,537.0,555.0,563.0,587.0,587.0,532.28,565.52
