calendar-year,academic-year,need,setting,population
2017,-2,SP,NMSS,0.0
2017,-2,SP,NMSSR,0.0
2017,-2,SP,OOE,0.0
2017,-2,UKN,EO,0.0
2017,-2,UKN,EYS,0.0
2017,-2,UKN,IMS,0.0
2017,-2,UKN,ISS,0.0
2017,-2,UKN,ISSR,0.0
2017,-2,UKN,MMS,0.0
2017,-2,UKN,MMSIB,0.0
2017,-2,UKN,MMSOB,0.0
2017,-2,UKN,MSS,0.0
2017,-2,UKN,MSSIB,0.0
2017,-2,UKN,MSSOB,0.0
2017,-2,UKN,MSSOP,0.0
2017,-2,UKN,MU,0.0
2017,-2,UKN,MUOB,0.0
2017,-2,UKN,NMSS,0.0
2017,-2,UKN,NMSSR,0.0
2017,-2,UKN,OOE,0.0
2017,-1,CI,EO,0.0
2017,-1,CI,EYS,3.0
2017,-1,CI,IMS,0.0
2017,-1,CI,ISS,0.0
2017,-1,CI,ISSR,0.0
2017,-1,CI,MMS,6.0
2017,-1,CI,MMSIB,15.0
2017,-1,CI,MMSOB,0.0
2017,-1,CI,MSS,0.0
2017,-1,CI,MSSIB,2.0
2017,-1,CI,MSSOB,0.0
2017,-1,CI,MSSOP,0.0
2017,-1,CI,MU,1.0
2017,-1,CI,MUOB,0.0
2017,-1,CI,NMSS,0.0
2017,-1,CI,NMSSR,0.0
2017,-1,CI,OOE,1.0
2017,-1,CL,EO,0.0
2017,-1,CL,EYS,0.0
2017,-1,CL,IMS,0.0
2017,-1,CL,ISS,0.0
2017,-1,CL,ISSR,0.0
2017,-1,CL,MMS,2.0
2017,-1,CL,MMSIB,4.0
2017,-1,CL,MMSOB,0.0
2017,-1,CL,MSS,0.0
2017,-1,CL,MSSIB,6.0
2017,-1,CL,MSSOB,0.0
2017,-1,CL,MSSOP,0.0
2017,-1,CL,MU,0.0
2017,-1,CL,MUOB,0.0
2017,-1,CL,NMSS,0.0
2017,-1,CL,NMSSR,0.0
2017,-1,CL,OOE,0.0
