calendar-year,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,2278.0,0.0,0.0,2277.0,2278.0,2278.0,2278.0,2278.0,2278.0,2278.0,2278.0,2278.0
2018,2401.8,24.14,24.0,2367.0,2368.0,2384.0,2400.0,2408.0,2456.0,2456.0,2386.84,2416.76
2019,2501.6,32.3,42.0,2437.0,2438.0,2484.0,2498.0,2526.0,2552.0,2552.0,2481.58,2521.62
2020,2594.2,42.88,60.0,2521.0,2522.0,2570.0,2584.0,2630.0,2670.0,2670.0,2567.62,2620.78
2021,2686.2,35.15,50.0,2627.0,2628.0,2664.0,2696.0,2714.0,2730.0,2730.0,2664.41,2707.99
2022,2782.2,25.13,32.0,2733.0,2734.0,2772.0,2780.0,2804.0,2818.0,2818.0,2766.62,2797.78
